author,quote
Albert Einstein,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”
Albert Einstein,"“Life is like riding a bicycle. To keep your balance, you must keep moving.”"
André Gide,“It is better to be hated for what you are than to be loved for what you are not.”
Marilyn Monroe,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”"
Douglas Adams,"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”"
Mark Twain,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”"
Mark Twain,“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”
Allen Saunders,“Life is what happens to us while we are making other plans.”
Dr. Seuss,"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”"
George Bernard Shaw,“Life isn't about finding yourself. Life is about creating yourself.”
Ralph Waldo Emerson,“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”
Jimi Hendrix,"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”"
Khaled Hosseini,“But better to get hurt by the truth than comforted with a lie.”
Harper Lee,“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”
